raceId,driverId,grid,finish,statusId,dnf,num_stops,first_stop_lap,avg_stop_time,total_stop_time,year,position_improved,position_change
848,13,5,5,1,0,3.0,15.0,22.219666666666665,66.65899999999999,2011,0,0
848,18,6,6,1,0,3.0,14.0,20.600333333333335,61.801,2011,0,0
848,3,7,7,1,0,3.0,12.0,21.832333333333334,65.497,2011,0,0
848,153,18,8,11,1,2.0,19.0,21.247,42.494,2011,1,10
848,16,10,9,11,1,3.0,12.0,20.666,61.998000000000005,2011,1,1
848,2,9,10,11,1,3.0,11.0,21.957000000000004,65.87100000000001,2011,0,-1
848,815,16,11,11,1,1.0,25.0,21.939,21.939,2011,1,5
848,22,13,12,11,1,3.0,11.0,21.237,63.711,2011,1,1
848,67,17,13,11,1,3.0,14.0,20.925333333333334,62.776,2011,1,4
848,814,12,14,11,1,3.0,14.0,20.818,62.454,2011,0,-2
848,808,11,15,11,1,3.0,15.0,21.459,64.377,2011,0,-4
848,155,14,16,11,1,2.0,11.0,22.018500000000003,44.037000000000006,2011,0,-2
848,30,8,17,11,1,3.0,14.0,24.344666666666665,73.03399999999999,2011,0,-9
848,813,15,18,11,1,3.0,10.0,21.532,64.596,2011,0,-3
848,5,19,19,12,1,3.0,14.0,22.333,66.999,2011,0,0
848,15,20,20,12,1,2.0,18.0,22.729,45.458,2011,0,0
848,10,21,21,12,1,2.0,17.0,21.965,43.93,2011,0,0
848,816,23,22,12,1,2.0,18.0,22.0965,44.193,2011,1,1
848,24,22,23,13,1,3.0,15.0,23.153333333333332,69.46,2011,0,-1
848,39,24,24,13,1,3.0,14.0,26.25466666666667,78.76400000000001,2011,0,0
849,4,3,1,1,0,3.0,12.0,24.671333333333333,74.014,2011,1,2
849,20,2,2,1,0,3.0,13.0,26.504333333333335,79.513,2011,0,0
849,17,1,3,1,0,3.0,12.0,24.415999999999997,73.24799999999999,2011,0,-2
849,1,10,4,1,0,3.0,12.0,24.168333333333333,72.505,2011,1,6
849,13,4,5,1,0,3.0,13.0,23.775333333333332,71.326,2011,0,-1
849,3,9,6,1,0,2.0,12.0,24.5605,49.121,2011,1,3
849,815,12,7,1,0,2.0,12.0,25.502499999999998,51.004999999999995,2011,1,5
849,2,16,8,1,0,2.0,10.0,24.575000000000003,49.150000000000006,2011,1,8
849,30,13,9,1,0,3.0,9.0,28.881333333333334,86.644,2011,1,4
849,153,18,10,1,0,2.0,12.0,24.407,48.814,2011,1,8
849,16,11,11,1,0,3.0,11.0,25.68466666666667,77.054,2011,0,0
849,808,14,12,1,0,2.0,11.0,24.526,49.052,2011,1,2
849,22,15,13,11,1,2.0,11.0,24.9075,49.815,2011,1,2
849,813,7,14,11,1,3.0,11.0,24.792999999999996,74.37899999999999,2011,0,-7
849,814,6,15,11,1,3.0,12.0,34.458,103.374,2011,0,-9
849,10,20,16,12,1,2.0,11.0,25.1875,50.375,2011,1,4
849,816,22,17,12,1,2.0,11.0,27.085,54.17,2011,1,5
849,24,23,18,12,1,2.0,11.0,26.073999999999998,52.147999999999996,2011,1,5
849,817,24,19,13,1,2.0,12.0,26.407,52.814,2011,1,5
849,18,5,20,61,1,3.0,11.0,24.216333333333335,72.649,2011,0,-15
849,67,19,21,3,1,2.0,11.0,25.4495,50.899,2011,0,-2
849,155,8,22,5,1,2.0,11.0,29.999499999999998,59.998999999999995,2011,0,-14
850,1,2,1,1,0,3.0,16.0,20.627,61.881,2011,1,1
850,4,4,2,1,0,3.0,16.0,20.146666666666665,60.44,2011,1,2
850,17,1,3,1,0,3.0,14.0,20.68766666666667,62.063,2011,0,-2
850,20,3,4,1,0,3.0,16.0,20.259333333333334,60.778,2011,0,-1
850,13,5,5,1,0,3.0,17.0,20.810666666666666,62.432,2011,0,0
850,16,8,6,1,0,2.0,22.0,20.859,41.718,2011,1,2
850,3,6,7,11,1,3.0,14.0,20.456666666666667,61.370000000000005,2011,0,-1
850,30,10,8,11,1,3.0,15.0,20.332333333333334,60.997,2011,1,2
850,155,17,9,11,1,2.0,20.0,21.0745,42.149,2011,1,8
850,808,9,10,11,1,2.0,23.0,21.0105,42.021,2011,0,-1
850,815,15,11,11,1,2.0,8.0,24.445999999999998,48.891999999999996,2011,1,4
850,153,16,12,11,1,2.0,23.0,21.375500000000002,42.751000000000005,2011,1,4
850,814,12,13,11,1,2.0,23.0,23.1055,46.211,2011,0,-1
850,813,13,14,11,1,2.0,15.0,21.329,42.658,2011,0,-1
850,67,24,15,11,1,2.0,10.0,24.127499999999998,48.254999999999995,2011,1,9
850,5,18,16,12,1,2.0,26.0,21.631500000000003,43.263000000000005,2011,1,2
850,10,19,17,13,1,2.0,22.0,21.752,43.504,2011,1,2
850,816,21,18,13,1,2.0,24.0,22.175,44.35,2011,1,3
850,817,22,19,13,1,2.0,21.0,23.186,46.372,2011,1,3
